pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,polygon.started,line1.started,line2.started,line3.started,line4.started,polygon.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,0,0,0,0,,,,,22.26990359998308,23.253284899983555,23.253284899983555,23.253284899983555,23.253284899983555,23.269516700005624,24.253123499976937,24.253123499976937,x,1,0.5609157000435516,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,0,1,1,1,,,,,24.835707299993373,25.83551449998049,25.83551449998049,25.83551449998049,25.83551449998049,25.83551449998049,26.83612469997024,26.83612469997024,v,1,0.29345309996278957,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,0,2,2,2,,,,,27.15300180000486,28.1530003999942,28.1530003999942,28.1530003999942,28.1530003999942,28.1530003999942,29.153101100004278,29.153101100004278,c,1,0.532830499985721,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,0,3,3,3,,,,,29.702302799967583,30.702754499972798,30.702754499972798,30.702754499972798,30.702754499972798,30.702754499972798,31.70192959997803,31.70192959997803,z,1,0.21753699996042997,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,1,0,4,0,,,,,31.9351844000048,32.93543279997539,32.93543279997539,32.93543279997539,32.93543279997539,32.93543279997539,33.93506889999844,33.93506889999844,x,1,0.2062824000022374,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,1,1,5,1,,,,,34.1685139000183,35.168370399973355,35.168370399973355,35.168370399973355,35.168370399973355,35.168370399973355,36.168659000017215,36.168659000017215,v,1,0.15787860000273213,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,1,2,6,2,,,,,36.3517730999738,37.35177469998598,37.35177469998598,37.35177469998598,37.35177469998598,37.35177469998598,38.35097709996626,38.35097709996626,c,1,0.21344580000732094,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,1,3,7,3,,,,,38.58441130002029,39.58529129996896,39.58529129996896,39.58529129996896,39.58529129996896,39.58529129996896,40.584143900021445,40.584143900021445,z,1,0.23156600003130734,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,2,0,8,0,,,,,40.83441040001344,41.83448349998798,41.83448349998798,41.83448349998798,41.83448349998798,41.83448349998798,42.83444020000752,42.83444020000752,x,1,0.23766610003076494,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,2,1,9,1,,,,,43.1009029999841,44.10106529999757,44.10106529999757,44.10106529999757,44.10106529999757,44.10106529999757,45.10115260002203,45.10115260002203,v,1,0.2303494000225328,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,2,2,10,2,,,,,45.35055959998863,46.35075699997833,46.35075699997833,46.35075699997833,46.35075699997833,46.35075699997833,47.35067060001893,47.35067060001893,c,1,0.24649069999577478,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,2,3,11,3,,,,,47.61697889998322,48.600528899987694,48.600528899987694,48.600528899987694,48.600528899987694,48.61670700000832,49.61667680001119,49.61667680001119,z,1,0.41974830004619434,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,3,0,12,0,,,,,50.06776459998218,51.06667849997757,51.06667849997757,51.06667849997757,51.06667849997757,51.06667849997757,52.06741179997334,52.06741179997334,x,1,0.38897789997281507,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,3,1,13,1,,,,,52.48332960001426,53.48357679997571,53.48357679997571,53.48357679997571,53.48357679997571,53.48357679997571,54.48337129998254,54.48337129998254,v,1,0.33699879999039695,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,3,2,14,2,,,,,54.849729700013995,55.8499421000015,55.8499421000015,55.8499421000015,55.8499421000015,55.8499421000015,56.84986189997289,56.84986189997289,c,1,0.4690291999722831,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,3,3,15,3,,,,,57.34994689997984,58.34898720000638,58.34898720000638,58.34898720000638,58.34898720000638,58.34898720000638,59.33279219997348,59.33279219997348,z,1,0.34834179998142645,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,4,0,16,0,,,,,59.699168999970425,60.69934449996799,60.69934449996799,60.69934449996799,60.69934449996799,60.69934449996799,61.699132499983534,61.699132499983534,x,1,0.3108964000130072,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,4,1,17,1,,,,,62.032801099994686,63.03193389996886,63.03193389996886,63.03193389996886,63.03193389996886,63.03193389996886,64.03275249997387,64.03275249997387,v,1,0.22519710002234206,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,4,2,18,2,,,,,64.28236710000783,65.28229170001578,65.28229170001578,65.28229170001578,65.28229170001578,65.28229170001578,66.28211289999308,66.28211289999308,c,1,0.10181270004250109,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,4,3,19,3,,,,,66.41555540001718,67.41531710000709,67.41531710000709,67.41531710000709,67.41531710000709,67.41531710000709,68.39845939999213,68.39845939999213,z,1,0.0499775999924168,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,5,0,20,0,,,,,68.46555510000326,69.46517340000719,69.46517340000719,69.46517340000719,69.46517340000719,69.46517340000719,70.46517470001709,70.46517470001709,x,1,0.007586500025354326,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,5,1,21,1,,,,,70.49892739998177,71.49863220000407,71.49863220000407,71.49863220000407,71.49863220000407,71.49863220000407,72.4983043000102,72.4983043000102,v,1,0.16378369997255504,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
